Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396557232,"    ""memorysetup-cache-allocator-block-size=4194304""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396647708,"    ""memorysetup-typetree-allocator-block-size=2097152""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396689731,"    ""memorysetup-profiler-bucket-allocator-granularity=16""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396751725,"    ""memorysetup-profiler-bucket-allocator-bucket-count=8""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396817020,"    ""memorysetup-profiler-bucket-allocator-block-size=4194304""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396858789,"    ""memorysetup-profiler-bucket-allocator-block-count=1""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396946950,"    ""memorysetup-profiler-allocator-block-size=16777216""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911396990499,"    ""memorysetup-profiler-editor-allocator-block-size=1048576""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911397029379,"    ""memorysetup-temp-allocator-size-main=4194304""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911397122233,"    ""memorysetup-job-temp-allocator-block-size=2097152""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911397163042,"    ""memorysetup-job-temp-allocator-block-size-background=1048576""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911397230184,"    ""memorysetup-job-temp-allocator-reduction-small-platforms=262144""
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911491984195,"Found 1 interfaces on host : 0) 
"
PROCESS_OUTPUT,STREAM_STDERR,71,101619,2911492635004,"GetLocalIP: Error during connect: Network is unreachable
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911494264145,"Multi-casting ""[IP]  [Port] 35000 [Flags] 2 [Guid] 3490866781 [EditorId] 2541310309 [Version] 1048832 [Id] PS4Player(25,):4601 "
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911494528195,"[Debug] 0 [PackageName] PS4Player [ProjectName] Console Game Project"" to [225.0.0.222:54997]...
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911494575409,"[libil2cpp] sceAppContentInitialize returned 0x80d90003
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2911494636884,"
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911558586203,"[SceLncService] launchApp(NPXS22010)
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911559222243,"[SceLncService] category={gdg} VRMode={0,0}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911559474877,"[SceLncService] hnm,psnf,pc,tk,ns={1,0,1,0,0} appBootMode={-1}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911559645972,"[SceLncService] appType={SCE_LNC_APP_TYPE_CDLG} [] appVer={00.00}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911559862195,"[SceLncService] Num. of logged-in users is 1
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911560096337,"[SceLncService] PrepareProcessLaunchDebuggerCheck()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911560908782,"[SceLncService] PrepareProcessLaunchDebuggerCheck() returned
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911562610732,"[SceLncService] PrepareProcessLaunchDebugger()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911564534330,"[SceLncService] PrepareProcessLaunchDebugger() returned
"
PROCESS_OUTPUT,STREAM_STDIO,42,100233,2911589552668,"[SceLncService] spawnApp
"
PROCESS_OUTPUT,STREAM_STDIO,39,100148,2911589821504,"[Syscore App] createApp NPXS22010
"
